spm_row,std_dt,begin_node_nm,end_node_nm,link_id,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_00,collection_dt
9978,,천마로사거리,양덕교차로,,28,39,22,34,91,122,201,254,314,353,396,430,432,405,347,352,388,366,300,244,208,157,94,54,2025-05-18 02:34:00.211032
9957,,장성초등학교,창포사거리,,180,118,87,73,223,385,523,858,1231,1286,1403,1525,1436,1391,1346,1538,1521,1563,1180,915,694,490,388,266,2025-05-18 02:34:00.211032
9958,,창포사거리,장성초등학교,,123,97,85,110,349,537,747,1099,1351,1266,1309,1310,1395,1215,1217,1172,1141,1062,822,775,638,475,324,239,2025-05-18 02:34:00.211032
9959,,장성초등,창포아이파크사거리,,85,72,84,80,264,437,599,958,1129,1076,1139,1079,1198,1091,1114,1013,1011,926,726,666,567,414,281,152,2025-05-18 02:34:00.211032
9963,,두산위브,장성초등사거리,,6,16,52,75,241,381,550,974,1125,1162,1221,1248,1297,1250,1281,1214,1158,1133,957,815,676,528,344,58,2025-05-18 02:34:00.211032
9964,,현진에버빌,장성초등사거리,,16,8,4,12,19,54,62,89,109,67,67,62,67,48,54,53,70,109,62,45,33,18,12,32,2025-05-18 02:34:00.211032
9965,,창포우체국,장성초등사거리,,154,115,87,69,188,413,509,734,1019,991,1100,1110,1142,1017,1015,1075,1149,1059,946,724,545,405,284,247,2025-05-18 02:34:00.211032
9966,,장성초등,장성초등사거리,,2,3,15,37,92,180,231,372,445,376,430,430,387,342,372,311,357,287,268,182,178,101,66,40,2025-05-18 02:34:00.211032
9967,,포항온천,두산위브,,43,11,45,72,184,333,446,700,860,900,973,783,880,781,944,948,1134,934,769,557,414,287,189,69,2025-05-18 02:34:00.211032
9968,,두산위브,포항온천,,94,70,45,58,111,244,388,548,687,665,709,788,789,678,705,703,692,613,569,426,375,246,175,129,2025-05-18 02:34:00.211032
9969,,장성초등학교,두산위브,,134,115,73,86,194,460,576,867,1213,1183,1299,1436,1358,1235,1137,1207,1223,1166,997,792,595,421,313,250,2025-05-18 02:34:00.211032
9970,,두산위브,장성초등학교,,105,59,78,81,254,338,517,913,1089,1118,1180,1158,1219,1166,1199,1207,1235,1109,937,834,639,479,305,183,2025-05-18 02:34:00.211032
9975,,죽천,양덕교차로,,4,3,11,16,64,59,106,170,159,173,250,334,368,349,418,391,443,352,288,229,152,170,121,34,2025-05-18 02:34:00.211032
9976,,청소년수련관,양덕교차로,,64,43,16,31,104,264,260,295,434,365,507,584,651,695,627,646,630,581,529,461,371,268,198,97,2025-05-18 02:34:00.211032
9977,,두산위브,양덕교차로,,55,46,29,62,104,248,279,320,534,486,560,695,647,541,458,496,545,501,387,348,225,172,94,96,2025-05-18 02:34:00.211032
